_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
668868dc8fe0103e5f633f22,,56.8,96.1,61.6,74.49,71;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215772000
668868c88fe0103e5f633eb8,,61.6,98.72,61.6,76.5,77;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215752000
668868b48fe0103e5f633e43,,47.2,90.91,47.2,65.99,59;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215732000
668868a08fe0103e5f633dc2,,34.4,83.64,36.8,74.29,43;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215712000
6688688b8fe0103e5f633d54,,43.2,88.52,43.2,68.3,54;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215691000
668868718fe0103e5f633cbb,,48,85.92,52,67.76,60;2;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215665000
6688685d8fe0103e5f633c4c,,55.19,89.87,59.99,71.87,69;3;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215645000
668868488fe0103e5f633be4,,54.4,92.21,60.8,72.57,68;2;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215624000
668868328fe0103e5f633b7a,,55.2,91.14,60.8,81.06,69;1;2;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215602000
668868098fe0103e5f633a81,,58.4,92.59,64,73.12,73;3;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215561000
668867f58fe0103e5f633a0e,,60,98.68,60,74.55,75;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215541000
668867e18fe0103e5f633997,,42.38,88.89,45.58,65.02,53;2;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1720215521000
668867cc8fe0103e5f633918,,50.4,84.62,61.6,69.23,63;7;1;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215500000
668867b88fe0103e5f63389c,,65.59,97.67,68.79,67.24,82;1;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720215480000
66856d85d024b0c093079fbd,,51.99,91.55,51.99,56.09,65;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1720020357000
66856d71d024b0c093079ed4,,46.37,85.33,58.36,67.35,58;7;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1720020337000
6682d6a171cb2c5f00be2452,,54.4,93.15,55.2,66.56,68;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850657000
6682d68a71cb2c5f00be2375,,55.99,97.22,55.99,74.54,70;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850634000
6682d67671cb2c5f00be22a9,,59.2,98.67,59.2,70.79,74;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850614000
6682d66171cb2c5f00be21c5,,52.8,94.44,52.8,82.65,66;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850593000
6682d64d71cb2c5f00be20eb,,53.6,91.03,61.6,81.16,67;5;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850572000
6682d63871cb2c5f00be2012,,56,95.89,56,73.09,70;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850552000
6682d62471cb2c5f00be1f30,,49.6,94.12,53.6,73.45,62;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850532000
6682d60f71cb2c5f00be1e61,,57.6,96.1,57.6,70.79,72;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850511000
6682d5fb71cb2c5f00be1d93,,53.6,91.89,57.6,82.69,67;3;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850491000
6682d5df71cb2c5f00be1c53,,56.8,95.95,56.8,69.97,71;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850463000
6682d5cb71cb2c5f00be1b8c,,57.6,94.81,57.6,60.5,72;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850443000
6682d5b771cb2c5f00be1ad3,,63.2,96.34,63.2,72.57,79;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850423000
6682d59971cb2c5f00be19a5,,61.59,96.25,61.59,75.63,77;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850393000
6682d58471cb2c5f00be18f3,,57.6,96.05,57.6,74.55,72;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850372000
6682d55971cb2c5f00be1756,,56.77,96.1,61.57,78.82,71;2;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1719850329000
6682d54571cb2c5f00be1688,,67.2,100,67.2,79.59,84;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850309000
6682d53171cb2c5f00be15ca,,60,96.2,63.2,81.06,75;2;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850289000
6682d51771cb2c5f00be14ce,,55.18,92.59,63.98,74.88,69;3;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850263000
6682d50371cb2c5f00be1419,,58.4,90.48,63.2,71.73,73;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850243000
6682d4ee71cb2c5f00be1348,,58.4,96.05,58.4,69.88,73;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850222000
6682d4da71cb2c5f00be1271,,52,89.33,56.8,65.75,65;4;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850202000
6682d4c671cb2c5f00be11a6,,55.18,92.5,62.38,72.9,69;2;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1719850182000
6682d4b171cb2c5f00be10e6,,53.6,92.11,58.4,65.85,67;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850161000
6682d49871cb2c5f00be0ff4,,54.4,92.21,61.6,75.5,68;4;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850136000
6682d48371cb2c5f00be0f28,,55.2,89.61,55.2,66.74,69;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850115000
6682d46e71cb2c5f00be0e54,,64.8,100,64.8,86.82,81;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850094000
6682d45a71cb2c5f00be0d8f,,61.6,97.47,61.6,75.52,77;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850074000
6682d44371cb2c5f00be0c90,,54.4,94.67,58.4,70.79,68;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719850050000
6682d3d771cb2c5f00be0849,,67.2,100,67.2,84.3,84;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849943000
6682d3c371cb2c5f00be0775,,64,96.51,68.79,75.78,80;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849923000
6682d3af71cb2c5f00be069a,,48.8,92.31,60.8,73.54,61;1;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849903000
6682d39b71cb2c5f00be05c2,,61.59,98.72,61.59,73.54,77;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849883000
6682d37771cb2c5f00be0437,,55.18,94.67,59.18,75.78,69;1;1;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1719849847000
6682d36071cb2c5f00be0349,,61.53,98.72,61.53,81.16,77;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1719849824000
6682d34c71cb2c5f00be0284,,48,87.5,52.8,68.45,60;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849804000
6682d33871cb2c5f00be01c3,,54.4,93.42,58.39,80.31,68;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849784000
6682d32571cb2c5f00be00f8,,57.6,94.81,59.2,70.79,72;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849765000
6682d30d71cb2c5f00be0006,true,67.99,97.7,67.99,85.64,85;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1719849741000
